UN201803260002,"2018-03-26 00:11:43",永康區,噪音舉發,場所連續噪音,連續噪音,臺南市永康區大仁街89號,23.002588,120.25681
UN201803260054,"2018-03-26 09:05:00",北區,噪音舉發,妨害安寧,"北區開南街169號   噪音舉發",臺南市北區開南街169號,23.005343,120.22631
UN201803260062,"2018-03-26 09:14:30",北區,噪音舉發,妨害安寧,噪音舉發,臺南市北區開南街169號,23.005343,120.22631
UN201803260068,"2018-03-26 09:26:50",關廟區,噪音舉發,場所連續噪音,"關廟區民族街76巷15號旁  噪音舉發",臺南市關廟區民族街76巷15號,22.958229,120.33235
UN201803260069,"2018-03-26 09:27:07",關廟區,噪音舉發,場所連續噪音,噪音舉發,臺南市關廟區民族街76巷15號,22.958229,120.33235
UN201803260077,"2018-03-26 09:43:08",關廟區,噪音舉發,場所連續噪音,噪音舉發,臺南市關廟區民族街76巷15號,22.958229,120.33235
UN201803260081,"2018-03-26 09:50:58",關廟區,噪音舉發,場所連續噪音,噪音舉發,臺南市關廟區民族街76巷15號,22.958229,120.33235
UN201803260083,"2018-03-26 09:51:24",關廟區,噪音舉發,場所連續噪音,"台南市關廟區民族街76巷15號旁  噪音舉發",臺南市關廟區民族街76巷15號,22.958229,120.33235
UN201803260086,"2018-03-26 09:54:02",關廟區,噪音舉發,場所連續噪音,噪音舉發,臺南市關廟區民族街76巷15號,22.958229,120.33235
UN201803260087,"2018-03-26 09:54:42",關廟區,噪音舉發,場所連續噪音,噪音舉發,臺南市關廟區民族街76巷15號,22.958229,120.33235
UN201803260142,"2018-03-26 11:34:44",中西區,違規停車,違規停車,"中西區公園路40號  違規停車",臺南市中西區公園路40號,22.994679,120.205654
UN201803260170,"2018-03-26 12:46:34",中西區,違規停車,違規停車,"中西區民權路一段232號  違規停車",臺南市中西區民權路一段232號,22.992722,120.207498
