UN201804230007,"2018-04-23 01:32:38",中西區,噪音舉發,妨害安寧,"中西區開山路5號 妨害安寧",臺南市中西區開山路5號,22.991998,120.205692
UN201804230036,"2018-04-23 08:17:41",東區,違規停車,違規停車,"東區前鋒路33號 違停",臺南市東區前鋒路33號,22.990002,120.212625
UN201804230053,"2018-04-23 08:49:51",永康區,違規停車,違規停車,"永康區中正南路52巷62弄  違停",永康區中正南路52巷62弄,23.020386,120.218175
UN201804230068,"2018-04-23 09:19:50",中西區,違規停車,違規停車,"中西區民族路二段59號、66號、29號等  違規停車",臺南市中西區民族路二段59號,22.994308,120.209991
UN201804230163,"2018-04-23 11:58:03",中西區,違規停車,違規停車,"中西區中山路70號旁邊的巷子  違規停車",臺南市中西區中山路70號,22.993756,120.207212
UN201804230165,"2018-04-23 11:59:36",中西區,違規停車,違規停車,"中西區民族路二段133號羊肉對面的紅線  違規停車",臺南市中西區民族路二段133號,22.994878,120.207797
UN201804230166,"2018-04-23 12:01:01",中西區,違規停車,違規停車,"中西區民族路二段100號三商大樓外面  違規停車",臺南市中西區民族路二段100號,22.995722,120.206242
UN201804230171,"2018-04-23 12:08:57",北區,違規停車,違規停車,"北區公園路126-2號 違規停車",臺南市北區公園路126-2號,22.99828,120.207239
UN201804230186,"2018-04-23 12:45:18",仁德區,交通運輸,佔用道路,"仁德區中正路二段1117號 佔用道路、機車紅線違停",臺南市仁德區中正路二段1117號,22.968144,120.252543
