UN201606060009,"2016-06-06 02:48:00",麻豆區,噪音舉發,妨礙安寧,"麻豆區中正路53-10號附近 妨礙安寧",臺南市麻豆區中正路53-10號,23.185464,120.248821
UN201606060010,"2016-06-06 02:57:00",永康區,違規停車,違規停車,"永康區新行街122巷12號 違規停車",臺南市永康區新行街122巷12號,23.041079,120.242684
UN201606060017,"2016-06-06 07:04:00",東區,違規停車,違規停車,"台南市東區崇德路160號 違規停車",701台灣台南市東區崇德路160號,22.978715917106662,120.22074583121343
UN201606060022,"2016-06-06 07:36:00",歸仁區,違規停車,違規停車,"歸仁區文化五街23號對面 違規停車",臺南市歸仁區文化五街23號,22.969956,120.289175
UN201606060028,"2016-06-06 08:02:00",北區,違規停車,違規停車,"北區勝利路214號 違規停車",臺南市北區勝利路214號,23.004501,120.21897
UN201606060032,"2016-06-06 08:13:00",東區,違規停車,違規停車,"東區裕農路311號 違規停車",701台灣台南市東區裕農路311號,22.986659,120.2287051
UN201606060039,"2016-06-06 08:24:00",永康區,髒亂及汙染,空氣汙染,"永康區復興路26巷72號   空汙",臺南市永康區復興路26巷72號,23.002982,120.25045
UN201606060043,"2016-06-06 08:35:00",中西區,違規停車,違規停車,"中西區開山路76號到100號 違規停車",臺南市中西區開山路76號,22.990099,120.206607
UN201606060045,"2016-06-06 08:37:00",中西區,違規停車,違規停車,"中西區衛民街88號 違規停車",臺南市衛民街88號,22.993053,120.209707
