UN201905200002,"2019-05-20 00:10:52",南區,路燈故障,9盞以下路燈故障,"南區德興路與永興三街 路燈故障",德興路與永興三街,22.9648177,120.192107
UN201905200028,"2019-05-20 08:08:06",東區,違規停車,違規停車,"東區東安路288號  違規停車",臺南市東區東安路288號,22.99745,120.227543
UN201905200035,"2019-05-20 08:25:06",玉井區,路燈故障,9盞以下路燈故障,"玉井區玉南公路  路燈不亮",玉井區玉南公路,23.1060822,120.4703258
UN201905200038,"2019-05-20 08:30:38",北區,噪音舉發,場所連續噪音,"北區佑民街37號   連續噪音",北區佑民街37號,22.9991241,120.20572
UN201905200066,"2019-05-20 09:23:46",東區,路燈故障,9盞以下路燈故障,"東區莊敬路205巷   路燈故障",東區莊敬路205巷,22.9970978,120.232319
UN201905200067,"2019-05-20 09:25:39",歸仁區,髒亂及汙染,空氣汙染,"歸仁區保吉路73巷41號   空汙",臺南市歸仁區保吉路73巷41號,23.006954,120.276392
UN201905200070,"2019-05-20 09:27:14",新營區,違規停車,違規停車,"新營區民治路8-68號巷口處 違停",臺南市新營區民治路8之68號,23.311226,120.320603
UN201905200074,"2019-05-20 09:30:25",永康區,髒亂及汙染,空氣汙染,"永康區文賢街68巷1號  空氣汙染",臺南市永康區文賢街68巷1號,23.00633,120.272652
UN201905200083,"2019-05-20 09:46:58",北區,道路維修,人孔蓋或溝蓋聲響鬆動,"IVR 水溝蓋 北區中華西路二段 孔蓋脫落",北區中華西路二段,22.9965373,120.1865011
UN201905200084,"2019-05-20 09:47:42",北區,民生管線,漏水、停水、消防栓漏水或損壞,"北區勝利路190巷59號 民生管線",北區勝利路190巷59號,23.0044571,120.219958
UN201905200093,"2019-05-20 10:04:00",中西區,違規停車,違規停車,"中西區民族路二段76號 違規停車",臺南市民族路二段76號,22.994726,120.20925
UN201905200094,"2019-05-20 10:07:56",玉井區,交通運輸,號誌故障,"玉井區86東向隧道  號誌故障",玉井區86東向隧道,23.1060822,120.4703258
UN201905200116,"2019-05-20 10:58:20",七股區,路燈故障,9盞以下路燈故障,"七股區後港里台17線  9盞以下路燈故障",七股區後港里台17線,23.1833609,120.1333092
UN201905200169,"2019-05-20 12:45:12",永康區,動物救援,犬貓急難救援,"永康區龍中街697號 犬貓急難救援",永康區龍中街697號,23.041304,120.2612764
UN201905200172,"2019-05-20 12:50:58",佳里區,髒亂及汙染,道路散落物,"佳里區佳東路79號開始  道路散落物",佳里區佳東路79號,23.1699839,120.1808658
UN201905200177,"2019-05-20 13:03:06",下營區,噪音舉發,妨礙安寧,"下營區下營外環道  妨礙安寧",下營區下營外環道,23.236368,120.262464
